,Date,Open,High,Low,Close,Volume
5468,2021-05-27 08:00:00,38275.47000000,39173.62000000,37826.08000000,38824.34000000,4419.79859400
5469,2021-05-27 09:00:00,38821.08000000,39495.69000000,38800.00000000,39277.44000000,3658.81228900
5470,2021-05-27 10:00:00,39277.44000000,39608.72000000,39065.19000000,39212.50000000,3963.52252700
5471,2021-05-27 11:00:00,39210.48000000,39888.02000000,39203.49000000,39690.01000000,4170.24636600
5472,2021-05-27 12:00:00,39690.00000000,39945.00000000,39256.59000000,39316.81000000,4420.56000100
5473,2021-05-27 13:00:00,39316.81000000,40411.14000000,39310.02000000,39864.02000000,6214.32666800
5474,2021-05-27 14:00:00,39864.01000000,40355.57000000,39800.00000000,40024.80000000,3380.56096000
5475,2021-05-27 15:00:00,40024.80000000,40100.00000000,39461.85000000,39667.00000000,4385.19732200
5476,2021-05-27 16:00:00,39666.99000000,39721.28000000,38720.00000000,38825.44000000,6400.57374400
5477,2021-05-27 17:00:00,38822.28000000,39250.00000000,38691.00000000,39028.99000000,3226.77601100
5478,2021-05-27 18:00:00,39029.00000000,39222.13000000,38790.65000000,39089.57000000,1872.89045900
5479,2021-05-27 19:00:00,39094.18000000,39117.91000000,38500.00000000,38768.35000000,2602.29963000
5480,2021-05-27 20:00:00,38768.36000000,38831.76000000,38400.15000000,38445.05000000,2328.23009300
5481,2021-05-27 21:00:00,38444.07000000,39187.35000000,38195.19000000,38978.69000000,3416.06473700
5482,2021-05-27 22:00:00,38978.69000000,39146.39000000,38382.11000000,38503.15000000,2599.01282000
5483,2021-05-27 23:00:00,38503.16000000,38755.51000000,38279.10000000,38529.98000000,2186.83176300
5484,2021-05-28 00:00:00,38529.99000000,38877.83000000,37900.00000000,37998.94000000,4191.98510600
5485,2021-05-28 01:00:00,37998.94000000,38237.64000000,37687.77000000,38155.11000000,3182.87817800
5486,2021-05-28 02:00:00,38150.57000000,38416.74000000,38000.00000000,38283.40000000,2115.12372200
5487,2021-05-28 03:00:00,38283.06000000,38284.79000000,37813.38000000,38237.18000000,2497.47189100
5488,2021-05-28 04:00:00,38237.10000000,38237.10000000,37219.19000000,37324.65000000,6011.40370400
5489,2021-05-28 05:00:00,37324.65000000,37565.17000000,36686.00000000,36996.45000000,6195.39463800
5490,2021-05-28 06:00:00,36996.45000000,37193.71000000,36442.00000000,36933.03000000,6598.33399800
5491,2021-05-28 07:00:00,36933.02000000,37382.68000000,36474.57000000,36975.93000000,6688.45256400
5492,2021-05-28 08:00:00,36975.65000000,37250.00000000,35600.00000000,35968.03000000,7894.46581200
5493,2021-05-28 09:00:00,35968.04000000,36241.61000000,35360.00000000,35994.67000000,9905.94678600
5494,2021-05-28 10:00:00,35995.19000000,36512.37000000,35742.01000000,35925.85000000,6335.69635100
5495,2021-05-28 11:00:00,35925.85000000,36179.30000000,35100.00000000,35351.65000000,6311.28615800
5496,2021-05-28 12:00:00,35351.65000000,36853.74000000,35168.24000000,36589.74000000,9152.17755600
5497,2021-05-28 13:00:00,36590.24000000,37279.98000000,36588.41000000,36923.61000000,6338.89085900
5498,2021-05-28 14:00:00,36923.60000000,37103.37000000,36500.00000000,36588.51000000,3636.55789000
5499,2021-05-28 15:00:00,36588.51000000,37067.77000000,36395.87000000,36749.31000000,3552.88403300
5500,2021-05-28 16:00:00,36751.59000000,36845.93000000,35812.01000000,35815.56000000,7919.19658900
5501,2021-05-28 17:00:00,35813.92000000,36284.00000000,35650.22000000,35976.17000000,5362.54640500
5502,2021-05-28 18:00:00,35976.17000000,36369.82000000,35551.06000000,36190.92000000,4369.76996900
5503,2021-05-28 19:00:00,36190.91000000,36570.00000000,35555.52000000,35789.30000000,5259.87578400
5504,2021-05-28 20:00:00,35789.31000000,36240.00000000,35181.73000000,35209.89000000,5872.51799400
5505,2021-05-28 21:00:00,35209.86000000,35419.38000000,34684.00000000,35031.79000000,7091.81923700
5506,2021-05-28 22:00:00,35031.79000000,35600.00000000,34750.56000000,35061.65000000,5236.05352300
5507,2021-05-28 23:00:00,35061.92000000,35893.55000000,34950.01000000,35663.49000000,3656.90097300
5508,2021-05-29 00:00:00,35661.79000000,36437.50000000,35617.87000000,36214.77000000,3989.26200100
5509,2021-05-29 01:00:00,36217.97000000,36500.00000000,36091.71000000,36374.11000000,3064.39694100
5510,2021-05-29 02:00:00,36374.11000000,36585.36000000,36100.00000000,36338.56000000,3698.04921300
5511,2021-05-29 03:00:00,36338.56000000,36774.44000000,36165.05000000,36458.77000000,2751.86353900
5512,2021-05-29 04:00:00,36458.77000000,36631.82000000,35604.30000000,35702.64000000,3480.19764900
5513,2021-05-29 05:00:00,35702.64000000,37338.58000000,35702.63000000,36862.30000000,5064.55074100
5514,2021-05-29 06:00:00,36862.31000000,37086.10000000,36451.65000000,36522.92000000,2913.83828400
5515,2021-05-29 07:00:00,36522.92000000,36720.00000000,36001.00000000,36145.02000000,3478.04100700
5516,2021-05-29 08:00:00,36145.00000000,36350.00000000,35516.60000000,35776.76000000,3501.09488300
5517,2021-05-29 09:00:00,35776.76000000,35909.09000000,34854.79000000,35378.95000000,6457.25992900
5518,2021-05-29 10:00:00,35378.67000000,35469.36000000,34981.22000000,35230.64000000,3326.05893400
5519,2021-05-29 11:00:00,35230.64000000,35850.00000000,34567.89000000,35375.00000000,6135.23355800
5520,2021-05-29 12:00:00,35375.00000000,35402.34000000,34590.00000000,34778.18000000,4978.20378700
5521,2021-05-29 13:00:00,34779.65000000,34990.00000000,34125.68000000,34891.89000000,7954.55712300
5522,2021-05-29 14:00:00,34888.66000000,35300.00000000,34200.00000000,34618.56000000,6193.05368900
5523,2021-05-29 15:00:00,34620.30000000,34622.98000000,33800.00000000,34416.27000000,9643.08347400
5524,2021-05-29 16:00:00,34416.26000000,35049.00000000,34004.69000000,34828.86000000,6211.30774900
5525,2021-05-29 17:00:00,34835.40000000,34856.96000000,33650.00000000,33891.84000000,6021.10584100
5526,2021-05-29 18:00:00,33893.55000000,34179.96000000,33632.76000000,34070.98000000,5465.34219400
5527,2021-05-29 19:00:00,34069.35000000,34329.59000000,33674.91000000,34025.43000000,4135.98684900
5528,2021-05-29 20:00:00,34025.44000000,34494.93000000,33752.30000000,34234.18000000,4658.09908800
5529,2021-05-29 21:00:00,34235.14000000,34742.93000000,34063.98000000,34650.08000000,3326.55087200
5530,2021-05-29 22:00:00,34650.08000000,34651.73000000,34235.93000000,34467.84000000,2435.36036000
5531,2021-05-29 23:00:00,34468.95000000,35100.00000000,34137.09000000,34605.15000000,3780.59498400
5532,2021-05-30 00:00:00,34605.15000000,34616.26000000,33379.00000000,33855.95000000,6060.99997100
5533,2021-05-30 01:00:00,33849.25000000,34071.41000000,33500.00000000,33897.89000000,2693.57563500
5534,2021-05-30 02:00:00,33896.76000000,34659.10000000,33785.21000000,34531.04000000,2598.61017100
5535,2021-05-30 03:00:00,34531.05000000,34974.99000000,34360.48000000,34770.12000000,2919.08709900
5536,2021-05-30 04:00:00,34770.13000000,35258.28000000,34631.73000000,34751.74000000,3589.16122200
5537,2021-05-30 05:00:00,34750.71000000,35492.89000000,34750.70000000,35325.61000000,4145.05298000
5538,2021-05-30 06:00:00,35327.19000000,35881.54000000,35251.98000000,35775.90000000,4683.25917400
5539,2021-05-30 07:00:00,35775.90000000,36232.09000000,35583.51000000,35998.33000000,4081.66198600
5540,2021-05-30 08:00:00,35996.12000000,36211.25000000,35546.42000000,35668.64000000,3320.04613500
5541,2021-05-30 09:00:00,35671.62000000,36021.56000000,35671.62000000,35840.73000000,2123.15952900
5542,2021-05-30 10:00:00,35840.02000000,35999.00000000,35653.45000000,35702.99000000,2756.62124300
5543,2021-05-30 11:00:00,35703.00000000,36420.00000000,35700.00000000,36359.44000000,4034.04464400
5544,2021-05-30 12:00:00,36359.44000000,36488.00000000,35280.00000000,35524.92000000,4859.67700700
5545,2021-05-30 13:00:00,35524.94000000,35806.96000000,35401.00000000,35676.86000000,2833.67197200
5546,2021-05-30 14:00:00,35676.86000000,35732.08000000,35100.00000000,35347.95000000,3148.13191000
5547,2021-05-30 15:00:00,35347.10000000,35646.45000000,35209.03000000,35477.00000000,2213.66926800
5548,2021-05-30 16:00:00,35477.00000000,35999.98000000,35300.00000000,35735.97000000,2966.74367600
5549,2021-05-30 17:00:00,35734.95000000,36000.00000000,35707.64000000,35819.67000000,2188.19304900
5550,2021-05-30 18:00:00,35817.23000000,36264.77000000,35814.71000000,36125.54000000,2967.68947200
5551,2021-05-30 19:00:00,36125.54000000,36284.44000000,36021.64000000,36077.59000000,1608.40812000
5552,2021-05-30 20:00:00,36077.59000000,36350.00000000,35900.00000000,36050.00000000,2867.69794500
5553,2021-05-30 21:00:00,36050.00000000,36205.00000000,35839.95000000,35940.45000000,1546.57408900
5554,2021-05-30 22:00:00,35939.61000000,36048.30000000,35667.00000000,35741.03000000,1725.64624600
5555,2021-05-30 23:00:00,35741.03000000,35820.00000000,35500.00000000,35641.27000000,1604.00442400
5556,2021-05-31 00:00:00,35641.26000000,36000.00000000,35200.00000000,35312.83000000,3371.93533400
5557,2021-05-31 01:00:00,35312.82000000,35434.42000000,34727.91000000,34804.39000000,3468.14011200
5558,2021-05-31 02:00:00,34806.75000000,34975.00000000,34440.80000000,34720.00000000,3853.41118700
5559,2021-05-31 03:00:00,34727.52000000,34747.21000000,34250.55000000,34489.57000000,3437.37871200
5560,2021-05-31 04:00:00,34489.58000000,34664.37000000,34153.84000000,34466.38000000,2677.09563000
5561,2021-05-31 05:00:00,34466.37000000,34688.74000000,34185.35000000,34447.34000000,3519.44900900
